id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,poblacion_total,renta_media_hogar,alquiler_medio_mes,tiene_gran_recinto,total_vut
24241838,The heart of it,22888046,Cristian,Centro,Justicia,40.42188,-3.69672,Private room,50.0,1,0,,0.0,1,0,141800,44958,825.0,1,218
24246189,piso chueca,182810318,Mario,Centro,Justicia,40.42024,-3.6975,Entire home/apt,2500.0,1,0,,0.0,1,0,141800,44958,825.0,1,218
24246818,Apartamento completo en Alto de Extremadura,131694165,Anuska,Latina,Puerta del Angel,40.40831,-3.73471,Entire home/apt,45.0,3,2,2018-06-04,0.06,1,0,251139,38078,651.95,0,68
24246908,ROOM IN THE CITY CENTER GRAN VIA CHUECA,125243857,Nicolle,Centro,Justicia,40.42215,-3.69855,Private room,71.0,2,1,2018-04-23,0.03,1,0,141800,44958,825.0,1,218
24247623,Beautiful Apartment Antón Martín/Las Letras Madrid,69324698,Ana,Centro,Embajadores,40.41066,-3.699,Entire home/apt,62.0,4,20,2021-03-28,0.56,3,121,141800,44958,825.0,1,218
24249549,Elegant 4 bedrooms flat in the very City Center!!,8244614,Mad About You,Centro,Palacio,40.41252,-3.71059,Entire home/apt,90.0,13,17,2020-03-16,0.47,18,289,141800,44958,825.0,1,218
24249788,Apartamento Plaza Eliptica,182814660,Adela,Carabanchel,Abrantes,40.38502,-3.72566,Entire home/apt,96.0,2,25,2019-12-29,0.69,2,0,278090,36350,650.0,0,85
24250606,Cozy studio apartment in the downtown,3962894,Elizabeth,Arganzuela,Chopera,40.39453,-3.69499,Entire home/apt,65.0,30,6,2020-02-29,0.17,1,0,158550,52857,850.0,0,121
24257940,Charming Madrid Plaza - Next to Plaza Mayor,182918520,Maite,Centro,Sol,40.41607,-3.70578,Entire home/apt,146.0,1,15,2021-03-24,0.43,1,337,141800,44958,825.0,1,218
24258892,NEW APARTMENT - TRIPLE ROOM WITH PRIVATE PARKING,69566471,Javier,Carabanchel,San Isidro,40.39796,-3.71605,Entire home/apt,95.0,4,3,2018-07-15,0.08,24,291,278090,36350,650.0,0,85
24258981,"4 TORRES-H. ""LA PAZ""-SANTIAGO BERNABEU-REAL MADRID",99058996,Valentina,Fuencarral - El Pardo,Valverde,40.48392,-3.68777,Private room,23.0,4,89,2020-06-29,2.45,1,365,256037,62385,894.61,0,52
24262663,Stunning Apartment at the heart of Malasaña,26321789,Eduardo,Centro,Universidad,40.42433,-3.70495,Entire home/apt,55.0,2,20,2020-03-09,0.55,1,71,141800,44958,825.0,1,218
24264598,"Apart. Nuevo, Céntrico, WIFI, Aire acondicionado",182978344,María Jesús Y Alvaro,Arganzuela,Delicias,40.3974,-3.69466,Entire home/apt,65.0,3,27,2021-01-30,0.77,1,0,158550,52857,850.0,0,121
24274586,APARTAMENTO MODERNO CON TERRAZA,16768541,Marianne,Centro,Embajadores,40.40984,-3.69908,Entire home/apt,54.0,1,63,2021-04-04,1.82,2,352,141800,44958,825.0,1,218
24275005,CHUECA Studio for 2 pax WIFI,37918137,Diana,Centro,Justicia,40.42408,-3.69941,Entire home/apt,42.0,2,63,2021-04-07,1.72,12,347,141800,44958,825.0,1,218
24275066,Ático dúplex con vistas en zona tranquila,183080750,Borja F.,Tetuán,Valdeacederas,40.46522,-3.70143,Private room,19.0,1,61,2019-11-17,1.66,1,0,167776,45762,756.23,0,177
24286198,Apartment in the heart of Madrid,139595528,Limani,Centro,Justicia,40.4225,-3.6977,Entire home/apt,40.0,4,70,2021-03-14,1.91,2,28,141800,44958,825.0,1,218
24291517,near the center clean and beautiful/  turistico ;),136617019,Jair,Carabanchel,Puerta Bonita,40.38077,-3.73497,Private room,12.0,2,2,2020-02-29,0.14,2,90,278090,36350,650.0,0,85
24292271,Beautiful apartment with Wifi in the city center!,136019037,Ana,Centro,Justicia,40.42226,-3.69958,Entire home/apt,109.0,2,59,2020-03-14,1.62,4,0,141800,44958,825.0,1,218
24293660,Charming & modern study Apart at Madrid Center.,11754581,Celita,Centro,Embajadores,40.4094,-3.70026,Entire home/apt,57.0,1,123,2020-03-15,3.47,1,163,141800,44958,825.0,1,218
24300626,ATOCHA/AVE-MUSEUMS-AIR CONDITION/WIFI 5G-5 PAX,69336259,Silvia Y Noelia,Arganzuela,Palos de Moguer,40.40315,-3.69043,Entire home/apt,65.0,2,88,2021-03-26,2.41,2,34,158550,52857,850.0,0,121
24305449,APARTAMENTO EN CENTRO DE MADRID CON GARAJE,69566471,Javier,Carabanchel,Opañel,40.39616,-3.71589,Entire home/apt,85.0,5,1,2018-08-07,0.03,24,289,278090,36350,650.0,0,85
24306493,New & Stylish Apartment next to Plaza de Santa Ana,5000632,Ramon,Centro,Cortes,40.41419,-3.70065,Entire home/apt,62.0,2,79,2021-03-28,2.2,3,136,141800,44958,825.0,1,218
24307171,“Room” excellent location by Arguelles.,123306231,Erick,Moncloa - Aravaca,Argüelles,40.42583,-3.71646,Private room,51.0,1,4,2018-06-10,0.11,1,0,126257,71711,900.49,1,24
24309006,Loft y terraza para vivir Madrid ideal.,4182700,Jaime,Carabanchel,Opañel,40.39313,-3.72125,Entire home/apt,55.0,3,4,2018-09-25,0.11,1,0,278090,36350,650.0,0,85
24309306,A cinco minutos andando del estadio Bernabeú...,31393322,Desconocido,Chamartín,Hispanoamérica,40.45304,-3.68133,Private room,90.0,1,1,2018-04-22,0.03,1,363,148093,79274,951.72,1,109
24309598,Zona delicia  se alquila  habitación de matrimonio,22642656,Mery,Arganzuela,Delicias,40.39656,-3.69446,Shared room,45.0,2,2,2018-05-07,0.05,3,364,158550,52857,850.0,0,121
24316929,Cute apartment in San Cosme,179506712,Daniel,Centro,Embajadores,40.40994,-3.69906,Entire home/apt,93.0,3,58,2020-02-16,1.66,5,0,141800,44958,825.0,1,218
24317070,NEW apartment in Salamanca Neighbourhood- 2BDR,180899595,Margarita,Salamanca,Goya,40.42815,-3.67705,Entire home/apt,76.0,3,61,2021-01-03,1.69,1,163,147256,69147,969.21,0,79
24319749,LUXURY DUPLEX PENTHOUSE ROYALPALACE,179506712,Daniel,Centro,Palacio,40.41958,-3.71411,Entire home/apt,223.0,3,53,2020-03-08,1.56,5,0,141800,44958,825.0,1,218
24320628,Your new apartament in Atocha,179506712,Daniel,Arganzuela,Palos de Moguer,40.40574,-3.69366,Entire home/apt,81.0,3,47,2020-02-28,1.53,5,37,158550,52857,850.0,0,121
24321768,Elevator top floor apt w private terrace in Chueca,153052198,Helena,Centro,Justicia,40.42245,-3.69948,Entire home/apt,60.0,30,5,2019-08-27,0.15,1,284,141800,44958,825.0,1,218
24323668,Modern loft in the heart of Madrid,19847529,Fernando,Chamartín,Hispanoamérica,40.45767,-3.67484,Entire home/apt,53.0,2,10,2021-03-19,0.28,1,337,148093,79274,951.72,1,109
24324849,Duplex con Terraza junto a la Plaza Mayor y Sol..,183472958,Luis Miguel,Centro,Palacio,40.41023,-3.71112,Entire home/apt,93.0,2,17,2019-12-21,0.49,1,0,141800,44958,825.0,1,218
24328395,Doble exterior balcony room Madrid CENTRO,112271726,Mario,Centro,Sol,40.41419,-3.70638,Private room,19.0,14,2,2020-09-01,0.23,31,0,141800,44958,825.0,1,218
24330861,Nice little room in Malasaña,180039261,Aliona,Centro,Universidad,40.42788,-3.70595,Private room,18.0,1,1,2018-04-29,0.03,1,0,141800,44958,825.0,1,218
24339118,"Your apartment in Lavapiés, Madrid",179506712,Daniel,Centro,Embajadores,40.41126,-3.69889,Entire home/apt,58.0,3,73,2020-02-26,2.04,5,0,141800,44958,825.0,1,218
24340029,DOBO HOMES MOLINO DE VIENTO,133056146,Dobo Rooms,Centro,Universidad,40.4224,-3.70373,Entire home/apt,110.0,1,18,2020-03-07,0.56,24,41,141800,44958,825.0,1,218
24342885,Piso en el centro de madrid,83869077,Luis,Centro,Justicia,40.42357,-3.69737,Entire home/apt,60.0,1,7,2019-11-03,0.28,1,0,141800,44958,825.0,1,218
24343278,"STUNNING, WIDE & COZY (3R+2B) Palacio Real",183680740,Macarena,Centro,Palacio,40.41033,-3.71429,Entire home/apt,108.0,2,99,2020-06-26,2.72,1,74,141800,44958,825.0,1,218
24348581,Downtown Madrid Room.,177513370,Cristian Angel,Arganzuela,Palos de Moguer,40.40546,-3.69187,Private room,21.0,1,35,2019-07-07,0.97,8,48,158550,52857,850.0,0,121
24350200,Private  Room A/C ARGUELLES-MONCLOA CENTER,112271726,Mario,Moncloa - Aravaca,Argüelles,40.42966,-3.71865,Private room,17.0,14,3,2020-08-15,0.09,31,0,126257,71711,900.49,1,24
24353348,Bright and Central Flat for up to 4 guests!,46275387,Celia,Centro,Embajadores,40.41185,-3.69995,Entire home/apt,61.0,3,31,2020-01-06,1.1,1,0,141800,44958,825.0,1,218
24353381,HABITACIÓN CENTRO MADRID NOVICIADO,162105875,Fernando,Centro,Universidad,40.42467,-3.70691,Private room,50.0,1,2,2018-05-17,0.06,3,365,141800,44958,825.0,1,218
24355249,Penthouse with big terrace,183781509,Jose,Carabanchel,San Isidro,40.39307,-3.72637,Entire home/apt,65.0,1,144,2021-03-31,3.94,1,255,278090,36350,650.0,0,85
24355672,"Perfect, charming and quiet apartment",8321213,Paula,Centro,Cortes,40.41162,-3.69492,Entire home/apt,42.0,1,205,2021-04-03,5.62,15,29,141800,44958,825.0,1,218
24362246,Arturo Soria - Bright & Stunning Penthouse,392790154,Apartamentos Temporales,Ciudad Lineal,Colina,40.46129,-3.66149,Entire home/apt,185.0,2,18,2020-02-27,0.5,33,186,230334,46937,735.75,0,133
24364750,Suite Malasaña,3540591,Max,Centro,Universidad,40.42588,-3.70485,Entire home/apt,30.0,30,10,2021-03-10,0.28,9,160,141800,44958,825.0,1,218
24364751,Acogedor apartamento en Madrid,164038723,Resilience,Chamberí,Gaztambide,40.4316,-3.71286,Entire home/apt,50.0,2,125,2021-03-21,3.54,2,68,141522,65174,998.75,0,60
24365665,"Lovely apartment in the center of Madrid, Atocha",12027564,Trifinio,Centro,Embajadores,40.41052,-3.69759,Entire home/apt,96.0,1,115,2020-10-27,3.16,9,193,141800,44958,825.0,1,218
24365877,LUMINOUS ROOM 6 * MINUTES FROM THE CENTER,45522059,Vini,Latina,Puerta del Angel,40.41144,-3.73487,Private room,28.0,1,122,2020-03-09,3.42,1,64,251139,38078,651.95,0,68
24376153,Precioso duplex en el centro de Madrid,177387935,Yago,Centro,Embajadores,40.41048,-3.69584,Entire home/apt,59.0,15,103,2020-03-01,2.83,1,55,141800,44958,825.0,1,218
24377410,Room next to the Retiro Park,165862969,Jonathan,Retiro,Ibiza,40.4199,-3.67716,Private room,29.0,2,99,2020-09-12,2.77,1,73,118863,64787,950.0,0,40
24384670,Apt. FELIPE NERI w/ BALCONY to CALLE MAYOR,107141654,Leeways,Centro,Sol,40.41617,-3.70819,Entire home/apt,58.0,3,123,2021-04-07,3.38,88,100,141800,44958,825.0,1,218
24395466,STYLISH / MADRID CENTER / III (MALASAÑA),179181919,Manuel,Centro,Universidad,40.42506,-3.70266,Entire home/apt,74.0,2,97,2020-02-22,2.68,2,179,141800,44958,825.0,1,218
24395903,"Habitación 2, calle 30",7484133,Fernando,Carabanchel,San Isidro,40.40269,-3.72481,Private room,20.0,1,18,2020-11-10,0.53,2,289,278090,36350,650.0,0,85
24398997,Amazing Apartment by Kivoya in the heart of Madrid,135382834,Kivoya,Centro,Universidad,40.42599,-3.70916,Entire home/apt,297.0,2,11,2020-02-28,0.32,3,250,141800,44958,825.0,1,218
24411451,La casita del arte. En Madrid Rio,533665,Gregorio,Carabanchel,Comillas,40.39411,-3.7123,Entire home/apt,39.0,1,24,2020-03-04,0.7,1,105,278090,36350,650.0,0,85
24415128,APARTAMENTO NUEVO Y MODERNO CON GARAJE PRIVADO,69566471,Javier,Carabanchel,Comillas,40.39639,-3.71448,Entire home/apt,235.0,3,4,2019-07-04,0.12,24,288,278090,36350,650.0,0,85
24417135,Apartamento Prado,378073,Alvaro,Centro,Cortes,40.41406,-3.69917,Entire home/apt,118.0,3,35,2020-03-02,0.97,7,214,141800,44958,825.0,1,218
24421887,"Penthouse Tirso/SOL, La casa Mowgli",184396123,Laura,Centro,Embajadores,40.41119,-3.70643,Entire home/apt,136.0,4,11,2020-02-22,0.31,1,41,141800,44958,825.0,1,218
24425296,Pisito moderno,77474494,Isabel,Ciudad Lineal,Concepción,40.43996,-3.64561,Private room,45.0,10,1,2019-09-29,0.05,3,364,230334,46937,735.75,0,133
